latitude,longitude
40.703235,-74.012421
40.702744,-74.012201
40.704025,-74.012638
40.704039,-74.012317
40.714812,-74.016153
40.705523,-74.01711
40.707632,-74.013068
40.704703,-74.010398
40.705486,-74.007874
40.704638,-74.006694
40.705187,-74.006369
40.705431,-74.007055
40.705299,-74.007242
40.706773,-74.009143
40.706523,-74.00826
40.7064,-74.008043
40.7064,-74.008043
40.709468,-74.012931
40.708351,-74.014323
40.708321,-74.01345
40.708263,-74.013475
40.709139,-74.01402
40.709493,-74.014976
40.709729,-74.013818
40.708931,-74.009035
40.709669,-74.010092
40.709765,-74.008765
40.710037,-74.009779
40.708028,-74.007939
40.707753,-74.006918
40.707086,-74.006243
40.707704,-74.006644
40.705714,-74.005399
40.706051,-74.0051
40.708988,-74.007654
40.709729,-74.006792
40.709916,-74.008949
40.711453,-74.010504
40.710764,-74.007708
40.711393,-74.006666
40.710962,-74.006864
40.710306,-74.006828
40.71055,-74.005771
40.71055,-74.005771
40.71055,-74.005771
40.709021,-74.002272
40.707962,-74.001706
40.712987,-74.008686
40.715205,-74.009476
40.715309,-74.008755
40.716114,-74.00737
40.715002,-73.999628
40.716968,-74.001883
40.719783,-74.010227
40.719128,-74.005166
40.718488,-74.002644
40.719358,-74.001905
40.718096,-74.001331
40.715763,-73.996378
40.717322,-73.99557
40.719084,-73.999953
40.718516,-74.000635
40.721,-74.004152
40.721068,-74.005758
40.721634,-74.004412
40.722827,-74.004726
40.719904,-74.000307
40.719891,-73.998759
40.718128,-73.994993
40.717821,-73.995155
40.712433,-73.992732
40.712875,-73.998586
40.713149,-73.992984
40.713761,-73.993666
40.714299,-73.993723
40.715389,-73.993536
40.714771,-73.992656
40.715018,-73.992313
40.717132,-73.995505
40.716525,-73.994647
40.715916,-73.995127
40.717607,-73.995245
40.718403,-73.994665
40.717044,-73.992547
40.717969,-73.986458
40.718559,-73.99
40.718559,-73.99
40.719967,-73.988023
40.719111,-73.988864
40.720362,-73.9882
40.721811,-73.987467
40.721853,-73.988304
40.718095,-73.990938
40.720041,-73.98926
40.719454,-73.98956
40.721043,-73.988748
40.723137,-73.989303
40.722248,-73.988899
40.718707,-73.99268
40.723382,-73.990144
40.719051,-73.994553
40.720741,-73.993864
40.721337,-73.992561
40.721949,-73.993402
40.722748,-73.993106
40.722786,-73.991464
40.728269,-73.984803
40.725465,-73.991879
40.726047,-73.991908
40.727751,-73.9912
40.728171,-73.990897
40.72821,-73.988689
40.72928,-73.990085
40.729793,-73.989703
40.729807,-73.989692
40.731415,-73.988533
40.719251,-73.994495
40.719018,-73.994589
40.719193,-73.996883
40.721524,-73.999278
40.723687,-74.005372
40.720687,-73.995173
40.720733,-73.997388
40.724183,-74.003196
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.731913,-73.996587
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
40.725616,-74.005253
