factype,latitude,longitude
BUS DEPOTS AND TERMINALS,40.700785,-73.790763
BUS DEPOTS AND TERMINALS,40.6735967342,-74.0094055083
BUS DEPOTS AND TERMINALS,40.8101951385,-73.8849139707
BUS DEPOTS AND TERMINALS,40.816618,-73.884774
BUS DEPOTS AND TERMINALS,40.8223469396,-73.8812366919
BUS DEPOTS AND TERMINALS,40.717253,-73.730207
BUS DEPOTS AND TERMINALS,40.6532372763,-73.8914863832
BUS DEPOTS AND TERMINALS,40.70024,-73.80291
BUS DEPOTS AND TERMINALS,40.5754043266,-74.0026139097
BUS DEPOTS AND TERMINALS,40.645151,-73.912124
BUS DEPOTS AND TERMINALS,40.67691,-73.926744
BUS DEPOTS AND TERMINALS,40.5754043266,-74.0026139097
BUS DEPOTS AND TERMINALS,40.816547,-73.843746
BUS DEPOTS AND TERMINALS,40.638741,-74.127948
BUS DEPOTS AND TERMINALS,40.766211,-73.883729
BUS DEPOTS AND TERMINALS,40.6890723813,-73.8452363666
BUS DEPOTS AND TERMINALS,40.86646,-73.833075
BUS DEPOTS AND TERMINALS,40.680712,-73.877941
BUS DEPOTS AND TERMINALS,40.661625,-73.865182
BUS DEPOTS AND TERMINALS,40.678175,-73.899843
BUS DEPOTS AND TERMINALS,40.653472,-73.899332
BUS DEPOTS AND TERMINALS,40.8101951385,-73.8849139707
BUS DEPOTS AND TERMINALS,40.717014,-73.730348
BUS DEPOTS AND TERMINALS,40.8091744434,-73.8846338349
BUS DEPOTS AND TERMINALS,40.53102,-74.237981
BUS DEPOTS AND TERMINALS,40.829934,-73.845109
BUS DEPOTS AND TERMINALS,40.6890723813,-73.8452363666
BUS DEPOTS AND TERMINALS,40.75345,-73.845845
BUS DEPOTS AND TERMINALS,40.718037,-73.920434
BUS DEPOTS AND TERMINALS,40.6650120702,-73.7826952545
BUS DEPOTS AND TERMINALS,40.819137,-73.95778
BUS DEPOTS AND TERMINALS,40.756951,-73.991524
BUS DEPOTS AND TERMINALS,40.6650120702,-73.7826952545
BUS DEPOTS AND TERMINALS,40.848865,-73.938426
BUS DEPOTS AND TERMINALS,40.592134,-73.80098
BUS DEPOTS AND TERMINALS,40.822857,-73.841602
BUS DEPOTS AND TERMINALS,40.882155,-73.821447
BUS DEPOTS AND TERMINALS,40.616824,-73.907118
BUS DEPOTS AND TERMINALS,40.8164631669,-73.8442586065
BUS DEPOTS AND TERMINALS,40.661295,-73.773526
BUS DEPOTS AND TERMINALS,40.82624,-73.840571
BUS DEPOTS AND TERMINALS,40.711066,-73.897605
BUS DEPOTS AND TERMINALS,40.651554,-74.002306
BUS DEPOTS AND TERMINALS,40.63296,-74.129017
BUS DEPOTS AND TERMINALS,40.7760471885,-73.9322079201
BUS DEPOTS AND TERMINALS,40.573903,-74.165824
PARKING LOTS AND GARAGES,40.6033903449,-73.9967793904
PARKING LOTS AND GARAGES,40.7125522199,-73.9533410191
PARKING LOTS AND GARAGES,40.7018273113,-73.8173146273
PARKING LOTS AND GARAGES,40.7687161237,-73.9572008687
PARKING LOTS AND GARAGES,40.8245918496,-73.8433819236
PARKING LOTS AND GARAGES,40.714454,-73.826124
PARKING LOTS AND GARAGES,40.7008466767,-73.8065869716
PARKING LOTS AND GARAGES,40.7585478714,-73.9912596188
PARKING LOTS AND GARAGES,40.7835139255,-73.9487962482
PARKING LOTS AND GARAGES,40.8603857243,-73.8900640369
PARKING LOTS AND GARAGES,40.7710939711,-73.919258191
PARKING LOTS AND GARAGES,40.7639859109,-73.8311839277
PARKING LOTS AND GARAGES,40.6939336136,-73.829551901
PARKING LOTS AND GARAGES,40.6896636124,-73.9799975791
PARKING LOTS AND GARAGES,40.8463100495,-73.8832312796
PARKING LOTS AND GARAGES,40.7317703583,-73.9745331724
PARKING LOTS AND GARAGES,40.7381587623,-73.9958286032
PARKING LOTS AND GARAGES,40.7360128771,-73.9888904238
PARKING LOTS AND GARAGES,40.6908775858,-73.9876784394
PARKING LOTS AND GARAGES,40.7409348164,-73.9809309018
PARKING LOTS AND GARAGES,40.710395562,-73.9689352816
PARKING LOTS AND GARAGES,40.6441081072,-73.9881007336
PARKING LOTS AND GARAGES,40.7948990943,-73.9315508989
PARKING LOTS AND GARAGES,40.7684177066,-73.9967605584
PARKING LOTS AND GARAGES,40.6894390158,-73.9881070987
PARKING LOTS AND GARAGES,40.6863181189,-73.9710895307
PARKING LOTS AND GARAGES,40.7607024322,-73.9988754433
PARKING LOTS AND GARAGES,40.7527779814,-73.9860391165
PARKING LOTS AND GARAGES,40.75544414,-73.99202087
PARKING LOTS AND GARAGES,40.8407365349,-73.8646780018
PARKING LOTS AND GARAGES,40.6976875346,-73.8016969581
PARKING LOTS AND GARAGES,40.8374120531,-73.8627208829
PARKING LOTS AND GARAGES,40.7774389164,-73.9499228884
PARKING LOTS AND GARAGES,40.6768754502,-73.9313519489
PARKING LOTS AND GARAGES,40.863342,-73.90008
PARKING LOTS AND GARAGES,40.7766170908,-73.9006173117
PARKING LOTS AND GARAGES,40.7938998592,-73.9693478146
PARKING LOTS AND GARAGES,40.701894886,-73.8103819364
PARKING LOTS AND GARAGES,40.8431799229,-73.8551413418
PARKING LOTS AND GARAGES,40.7331268662,-73.9517380009
PARKING LOTS AND GARAGES,40.7599752891,-73.8413439333
PARKING LOTS AND GARAGES,40.6010724026,-74.1779883576
PARKING LOTS AND GARAGES,40.7511833176,-73.9921818422
PARKING LOTS AND GARAGES,40.7648006516,-73.9792383618
PARKING LOTS AND GARAGES,40.6851936501,-73.8601684722
PARKING LOTS AND GARAGES,40.8858099668,-73.8289907644
PARKING LOTS AND GARAGES,40.7617695904,-73.9723494482
PARKING LOTS AND GARAGES,40.7422260832,-73.9957575139
PARKING LOTS AND GARAGES,40.7642806031,-73.9640166038
PARKING LOTS AND GARAGES,40.871365,-73.824177
PARKING LOTS AND GARAGES,40.6752325783,-73.813261721
PARKING LOTS AND GARAGES,40.6396274124,-73.9277898864
PARKING LOTS AND GARAGES,40.8368174519,-73.882395645
PARKING LOTS AND GARAGES,40.7330078887,-73.9760996733
PARKING LOTS AND GARAGES,40.8058081576,-73.912678339
PARKING LOTS AND GARAGES,40.82894087,-73.908858195
PARKING LOTS AND GARAGES,40.7700407313,-73.9522966562
PARKING LOTS AND GARAGES,40.7714723408,-73.9513366899
PARKING LOTS AND GARAGES,40.7740080691,-73.9913051539
PARKING LOTS AND GARAGES,40.6296184657,-74.0737222507
PARKING LOTS AND GARAGES,40.6750872217,-73.8369508229
PARKING LOTS AND GARAGES,40.6960111119,-73.9055240143
PARKING LOTS AND GARAGES,40.722287616,-73.956732788
PARKING LOTS AND GARAGES,40.678474718,-73.9625449473
PARKING LOTS AND GARAGES,40.7667773004,-73.9841103137
PARKING LOTS AND GARAGES,40.7883127429,-73.9713050843
PARKING LOTS AND GARAGES,40.8569093505,-73.9166479926
PARKING LOTS AND GARAGES,40.7846200053,-73.8493382766
PARKING LOTS AND GARAGES,40.6323094454,-73.9279494955
PARKING LOTS AND GARAGES,40.7512998073,-73.9982391832
PARKING LOTS AND GARAGES,40.547454562,-74.2290336943
PARKING LOTS AND GARAGES,40.7524772819,-73.7107679873
PARKING LOTS AND GARAGES,40.7719721452,-73.9463627375
PARKING LOTS AND GARAGES,40.7147152978,-73.7456179529
PARKING LOTS AND GARAGES,40.7779860091,-73.950805438
PARKING LOTS AND GARAGES,40.7783452911,-73.9518273407
PARKING LOTS AND GARAGES,40.8565706191,-73.8854227281
PARKING LOTS AND GARAGES,40.8528547356,-73.8424059145
PARKING LOTS AND GARAGES,40.750864993,-73.9776259545
PARKING LOTS AND GARAGES,40.7839556925,-73.7747707097
PARKING LOTS AND GARAGES,40.8973254388,-73.8591306432
PARKING LOTS AND GARAGES,40.8434085944,-73.8557360951
PARKING LOTS AND GARAGES,40.6349549137,-74.1169221617
PARKING LOTS AND GARAGES,40.7695258027,-73.9612641462
PARKING LOTS AND GARAGES,40.7673876821,-73.840999339
PARKING LOTS AND GARAGES,40.7717547621,-73.9465961148
PARKING LOTS AND GARAGES,40.699048875,-73.8886869122
PARKING LOTS AND GARAGES,40.8304349672,-73.9096330281
PARKING LOTS AND GARAGES,40.7251060981,-73.9944323665
PARKING LOTS AND GARAGES,40.7695404107,-73.965509663
PARKING LOTS AND GARAGES,40.8435663259,-73.8436207984
PARKING LOTS AND GARAGES,40.7540484527,-73.9651665353
PARKING LOTS AND GARAGES,40.8043603277,-73.9143132988
PARKING LOTS AND GARAGES,40.7495950428,-73.9397199763
PARKING LOTS AND GARAGES,40.7646295233,-73.9848626047
PARKING LOTS AND GARAGES,40.592268088,-73.8001828379
PARKING LOTS AND GARAGES,40.8014303573,-73.9476300455
PARKING LOTS AND GARAGES,40.7556610128,-73.9635866648
PARKING LOTS AND GARAGES,40.7747843337,-73.9475168033
PARKING LOTS AND GARAGES,40.6442208433,-74.0976192552
PARKING LOTS AND GARAGES,40.8554185241,-73.8913957032
PARKING LOTS AND GARAGES,40.8114544618,-73.882133685
PARKING LOTS AND GARAGES,40.7564648041,-73.9630547573
PARKING LOTS AND GARAGES,40.8462227998,-73.7866420105
PARKING LOTS AND GARAGES,40.7749948343,-73.9557988301
PARKING LOTS AND GARAGES,40.7674639076,-73.9606803284
PARKING LOTS AND GARAGES,40.7668297151,-73.955043929
PARKING LOTS AND GARAGES,40.7733073829,-73.9464031977
PARKING LOTS AND GARAGES,40.7609545092,-73.9820510959
PARKING LOTS AND GARAGES,40.682632803,-73.8536268693
PARKING LOTS AND GARAGES,40.6888317737,-73.7767122628
PARKING LOTS AND GARAGES,40.6826024524,-73.7682475958
PARKING LOTS AND GARAGES,40.778985224,-73.9609600713
PARKING LOTS AND GARAGES,40.736835345,-73.9591651155
PARKING LOTS AND GARAGES,40.7097700438,-73.9241611714
PARKING LOTS AND GARAGES,40.7552286269,-73.9554951455
PARKING LOTS AND GARAGES,40.7700407313,-73.9522966562
PARKING LOTS AND GARAGES,40.6832522719,-73.9733532793
PARKING LOTS AND GARAGES,40.7353863587,-74.0076815573
PARKING LOTS AND GARAGES,40.5384693943,-74.2412021803
PARKING LOTS AND GARAGES,40.747953565,-73.9802068596
PARKING LOTS AND GARAGES,40.7507486828,-73.9793749123
PARKING LOTS AND GARAGES,40.8831139767,-73.8290095615
PARKING LOTS AND GARAGES,40.7722486196,-73.9457642949
PARKING LOTS AND GARAGES,40.6357308391,-74.0111049524
PARKING LOTS AND GARAGES,40.7560060787,-73.9838259419
PARKING LOTS AND GARAGES,40.7751420097,-73.9502246365
PARKING LOTS AND GARAGES,40.6949897705,-73.9630952849
PARKING LOTS AND GARAGES,40.8615681221,-73.912402971
PARKING LOTS AND GARAGES,40.8540962479,-73.9067472828
PARKING LOTS AND GARAGES,40.7046389804,-73.8071176974
