latitude,longitude,Population
40.76835158791792,-73.80954590112775,51739
40.763352201155264,-73.86839559826987,23150
40.73489448639476,-73.78371636114144,17812
40.755733929854735,-73.98350302087132,28630
40.81805458849719,-73.85618761808409,53686
40.69120183503448,-73.76314607498037,48593
40.68796681288217,-73.96236332341726,34791
40.83782589267865,-73.92615881201503,37727
40.58840281805082,-73.98143050413951,29436
40.6173149605957,-73.9703258001996,20299
40.827900155002546,-73.86968191369107,35634
40.70353497043596,-73.87574826054426,32496
40.876513381930195,-73.89562209795781,50100
40.676155273601346,-73.81945921646091,75878
40.6536119760564,-73.97798272747355,20988
40.638042327711965,-73.89975089660601,83693
40.54033376720194,-74.20782757948685,20763
40.84905813130867,-73.90512194941381,51807
40.79037998138091,-73.97390784022548,132378
40.877142279045074,-73.87902106926857,40494
40.86768209053005,-73.8901836362078,54415
40.742675812407576,-73.75461549910108,28237
40.75257951269893,-73.86303630152253,52037
40.5790886862993,-73.97339094988965,17750
40.72615545587401,-73.86333861099067,28260
40.882156187836735,-73.858949122879,61321
40.78819127627854,-73.81564320134655,30773
40.67559942676986,-73.84704874573309,21376
40.640590131889915,-73.97619901935508,36891
40.66218792310775,-73.76448889899105,20132
40.69079510513449,-73.97488147952565,26079
40.647526284927736,-73.88241259897559,13354
40.73682434672817,-73.9840542975779,27988
40.67663761763486,-73.91364751083654,31935
40.81825954558028,-73.91285012599909,39214
40.8275124428439,-73.90235187026127,37865
40.83399611808212,-73.8858973508187,20277
40.72639943341965,-73.81866840459611,37479
40.72833317193866,-73.80244496724222,34034
40.754108969452595,-73.80729444050496,26982
40.71063933412504,-73.7611370511429,20269
40.657841468762136,-73.73945475132105,25063
40.86526567552461,-73.90591108498285,32496
40.85252203480638,-73.91597420552891,54188
40.703916526132,-73.95859674795682,32926
40.89953496820569,-73.9069847604234,27860
40.60491359561196,-73.94813559482512,38917
40.62092403927339,-73.95682458081475,52835
40.71545452531067,-73.74153181008387,52504
40.69442746765774,-73.79096387824596,38894
40.6461118953468,-73.9516232199433,29938
40.6145798899856,-73.91524588487795,45231
40.88240602000621,-73.91066684061103,30161
40.694540694422244,-73.83092640099397,62982
40.791130324535665,-73.88265513781992,11091
40.751035622989804,-73.78794881529473,19996
40.76149375451989,-73.91969704447682,78793
40.72065535481476,-73.77610063972261,25480
40.700560683154535,-73.91776601133527,57138
40.704368757648346,-73.79397966825385,53751
40.742348941749,-73.85837079063434,57658
40.706531363612704,-73.90171541060506,69317
40.738316417142556,-73.89217317475966,25521
40.68816824316435,-73.93188820624536,63504
40.85778148187093,-73.88586708731046,27378
40.84496706418226,-73.88552387705329,43423
40.71536854625292,-73.93679688042977,34158
40.842746663786684,-73.90031781559387,31078
40.85815440178615,-73.89953703434388,28262
40.76416511873816,-73.9923992723976,45884
40.74758077289947,-73.99901992342878,70150
40.77732494193296,-73.94868255727877,77942
40.86788284818757,-73.91766203747093,46746
40.69150749761983,-73.9499050211329,70713
40.80788646974493,-73.96254407122397,55929
40.696458816404906,-73.92511472597955,72101
40.804332644246934,-73.95129424485714,43383
40.69434146001008,-73.73555421066426,18677
40.618729466067954,-74.07370560707996,26453
40.76372843942197,-73.73693765999688,24739
40.8011684124129,-73.93734577107963,58019
40.771570382460126,-73.92833316728714,27814
40.76273268441473,-73.77342351074492,43808
40.67446900360093,-73.93929053594061,103169
40.735489628023046,-73.72665578734754,25287
40.745993478570256,-73.71102517964985,22571
40.66655893770658,-73.89536412006585,29343
40.7573118592526,-73.88532108050227,108152
40.715607062984,-73.99462954009593,47844
40.66400194868426,-73.9102548637828,58300
40.64394703597234,-73.93793003186316,50355
40.652364989454036,-73.92225092111902,55326
40.626273053875394,-73.93009687459897,64762
40.83774661945086,-73.857988846515,29821
40.720766121035,-74.00474750215801,42742
40.708007397485844,-74.01024580889407,39699
40.65238020582426,-74.01123625854488,54041
40.717841037362795,-73.980910550939,72957
40.6042602259382,-74.0074826443686,29931
40.76496428316049,-73.95508804905873,80771
40.75755983715688,-73.93874960665772,20030
40.58679198950333,-74.08551310571646,24835
40.60032103687097,-74.07177466676795,16079
40.780923219140085,-73.84280567084586,24275
40.66461062709398,-73.79861594419954,0
40.79001128708913,-73.94575086002436,57902
40.61222181802147,-73.99526015577835,88727
40.601425353157644,-73.98354410301937,62978
40.54577851890854,-74.12835122251354,0
40.818022678084475,-73.95382231943233,22950
40.807347132488246,-73.91682138430652,52413
40.864004852787474,-73.86490227801215,35538
40.774846583393455,-73.98469930623426,61489
40.67764232716247,-73.96758605431256,19849
40.6224386002368,-74.01209534451164,42419
40.624854623557155,-74.02988679847549,79371
40.68873094404904,-73.85576448007149,56674
40.67877154902519,-74.00389956866022,38353
40.67122829682977,-73.9839032868623,67649
40.580922842200685,-73.9612157959808,35547
40.599954285979734,-73.96433366873585,44316
40.57648122289529,-73.99123405592606,31965
40.616884471488305,-74.12535267818313,24102
40.63897114145984,-74.10231018500836,33551
40.754313184142795,-73.969018457856,51231
40.8979309523011,-73.85221587988438,42483
40.872461131701534,-73.84799806584263,1906
40.66094626441516,-73.87683924673846,91958
40.65817283235107,-73.8448871234811,26148
40.63094965530206,-73.98866123041203,106357
40.729499700807246,-73.94951695167907,34719
40.83210042759504,-73.84864267680445,27248
40.586559675799926,-74.13297490106345,30714
40.873979648142395,-73.82827934026612,43752
40.77472985232449,-73.96117409546248,61207
40.81825704827704,-73.9407715246055,75282
40.827033666910694,-73.94846693409417,48520
