the_geom,MeterNo,MeterType,LONG,LAT,Status,Borough,X,Y
POINT (-73.849754706454 40.73217422994689),4451772,Strada,-73.8497547065,40.7321742299,Active,Queens,1025890.01349,206063.102687
POINT (-73.84918609686979 40.73157630650963),4451774,Strada,-73.8491860969,40.7315763065,Active,Queens,1026047.97676,205845.5316
POINT (-73.85001341085291 40.732775823890755),4451771,Strada,-73.8500134109,40.7327758239,Active,Queens,1025817.93916,206282.159008
POINT (-73.84996959475836 40.73287786207345),4451770,Strada,-73.8499695948,40.7328778621,Active,Queens,1025830.01886,206319.355456
POINT (-73.85027211226594 40.73346564550114),4451769,Strada,-73.8502721123,40.7334656455,Active,Queens,1025745.81201,206533.359621
POINT (-73.8502227354336 40.73356729202269),4451768,Strada,-73.8502227354,40.733567292,Active,Queens,1025759.43305,206570.415977
POINT (-73.85016729473759 40.73384434354938),4451767,Strada,-73.8501672947,40.7338443435,Active,Queens,1025774.62527,206671.38067
POINT (-73.82235998764799 40.75733278587053),4061159,Strada,-73.8223599876,40.7573327859,Active,Queens,1033463.77656,215243.358933
POINT (-73.82275831819506 40.75765931446406),4061158,Strada,-73.8227583182,40.7576593145,Inactive,Queens,1033353.18164,215362.100165
POINT (-73.8225223338469 40.754005907385064),4061155,Strada,-73.8225223338,40.7540059074,Active,Queens,1033421.25565,214031.180255
POINT (-73.82243082204764 40.75417414680912),4061156,Strada,-73.822430822,40.7541741468,Active,Queens,1033446.48526,214092.526589
POINT (-73.82234875930881 40.753624052547195),4061154,Strada,-73.8223487593,40.7536240525,Active,Queens,1033469.6276,213892.155927
POINT (-73.82183636296406 40.753228422001236),4061153,Strada,-73.821836363,40.753228422,Active,Queens,1033611.88388,213748.303524
POINT (-73.82136331874246 40.752846025503175),4061152,Strada,-73.8213633187,40.7528460255,Active,Queens,1033743.22909,213609.251309
POINT (-73.82245303532301 40.75349290493774),4061148,Strada,-73.8224530353,40.7534929049,Active,Queens,1033440.83402,213844.316127
POINT (-73.81875527448338 40.75038103678811),4061151,Strada,-73.8187552745,40.7503810368,Active,Queens,1034467.67317,212712.662551
POINT (-73.81858393394891 40.75002159318607),4061149,Strada,-73.8185839339,40.7500215932,Active,Queens,1034515.41783,212581.804217
POINT (-73.94613149743634 40.74216721047457),4152021,Strada,-73.9461314974,40.7421672105,Active,Queens,999177.254582,209672.740481
POINT (-73.94551624763696 40.74241280003143),4152020,Strada,-73.9455162476,40.7424128,Active,Queens,999347.687968,209762.321995
POINT (-73.94488408576976 40.742664563786256),4152019,Strada,-73.9448840858,40.7426645638,Active,Queens,999522.805072,209854.157113
POINT (-73.94376484578194 40.74310812579985),4152018,Strada,-73.9437648458,40.7431081258,Active,Queens,999832.846447,210015.957971
POINT (-73.94321215865102 40.74332956214507),4152017,Strada,-73.9432121587,40.7433295621,Active,Queens,999985.944566,210096.733071
POINT (-73.94256382001853 40.74358984377007),4152016,Strada,-73.94256382,40.7435898438,Active,Queens,1000165.53738,210191.679076
POINT (-73.94191614266292 40.74384768890206),4152015,Strada,-73.9419161427,40.7438476889,Active,Queens,1000344.94614,210285.738599
POINT (-73.94126923506573 40.74410235018703),4152014,Strada,-73.9412692351,40.7441023502,Active,Queens,1000524.141,210378.639332
POINT (-73.94061718181916 40.744360717968824),4152013,Strada,-73.9406171818,40.744360718,Active,Queens,1000704.7594,210472.892752
POINT (-73.93992467147329 40.744585338775494),4152012,Strada,-73.9399246715,40.7445853388,Active,Queens,1000896.5953,210554.860108
POINT (-73.93925473198462 40.74480221575706),4152011,Strada,-73.939254732,40.7448022158,Active,Queens,1001082.17761,210634.003322
