total_units,latitude,longitude
103,40.613706,-74.062592
55,40.707094,-73.836484
48,40.766209,-73.745283
46,,
1,,
1,,
15,40.707108,-73.91248
6,40.644266,-73.987842
1,,
13,40.677644,-73.921745
8,40.677925,-73.927466
15,40.677823,-73.926554
10,40.677696,-73.921471
20,40.831229,-73.921325
24,40.831369,-73.918181
20,40.836319,-73.912288
64,40.830765,-73.917651
37,40.833229,-73.916206
22,40.835557,-73.909691
9,40.727,-73.976715
21,40.725658,-73.977032
14,40.728085,-73.980907
3,40.685103,-73.927793
3,40.695442,-73.935615
3,40.681506,-73.926279
3,40.674876,-73.927685
3,40.685544,-73.930457
3,40.680665,-73.928617
2,40.680653,-73.927365
3,40.680601,-73.927823
2,40.677432,-73.924759
3,40.677125,-73.925087
3,40.677835,-73.928328
9,40.816754,-73.953789
8,40.825691,-73.947282
9,40.826188,-73.946895
15,40.819169,-73.952729
15,40.819186,-73.952768
16,40.819342,-73.953162
20,40.820474,-73.955936
18,40.820004,-73.952786
133,40.801943,-73.913905
141,40.713802,-73.984893
145,40.713053,-73.985045
124,40.711535,-73.984818
124,40.711249,-73.98445
124,40.711383,-73.98265
124,40.711446,-73.98173
54,40.852603,-73.911461
207,40.705953,-73.803921
84,40.732214,-73.80952
39,40.730363,-73.809283
36,40.730433,-73.806981
36,40.731845,-73.807399
73,40.731837,-73.807312
36,40.731825,-73.80723
77,40.731775,-73.806761
72,40.731809,-73.806926
18,40.733421,-73.807856
72,40.733237,-73.807868
18,40.732946,-73.807883
72,40.73519,-73.806603
71,40.73421,-73.80692
72,40.734808,-73.804879
36,40.734103,-73.804924
72,40.733982,-73.804932
36,40.733861,-73.80494
72,40.732796,-73.805011
72,40.731758,-73.806371
72,40.736291,-73.8087
77,40.735339,-73.808872
77,40.734282,-73.808687
18,40.733424,-73.807878
72,40.733237,-73.807889
18,40.732946,-73.807905
84,40.732233,-73.809556
72,40.736319,-73.810515
72,40.735224,-73.810579
72,40.734809,-73.810606
77,40.734447,-73.810628
76,40.73423,-73.810643
72,40.735866,-73.808755
72,40.735369,-73.808847
72,40.735763,-73.806652
72,40.735297,-73.806631
