factype,latitude,longitude
PUBLIC K-12 SCHOOLS,40.8395813391,-73.9113031425
PUBLIC K-12 SCHOOLS,40.716236219,-73.9936019838
PUBLIC K-12 SCHOOLS,40.6976073657,-73.7403617607
PUBLIC K-12 SCHOOLS,40.8172745501,-73.9472405436
PUBLIC K-12 SCHOOLS,40.8812883067,-73.8394221895
PUBLIC K-12 SCHOOLS,40.7438922599,-73.7093210746
PUBLIC K-12 SCHOOLS,40.8656311953,-73.9251132636
PUBLIC K-12 SCHOOLS,40.7425694637,-74.0023598077
PUBLIC K-12 SCHOOLS,40.8693776004,-73.8971360514
PUBLIC K-12 SCHOOLS,40.8751540489,-73.8330915813
PUBLIC K-12 SCHOOLS,40.69302027,-73.8690781724
PUBLIC K-12 SCHOOLS,40.8177510717,-73.8978619081
PUBLIC K-12 SCHOOLS,40.7889408092,-73.9725305406
PUBLIC K-12 SCHOOLS,40.6931639647,-73.9211426867
PUBLIC K-12 SCHOOLS,40.6848740422,-73.9908867531
PUBLIC K-12 SCHOOLS,40.7035340893,-73.8840500865
PUBLIC K-12 SCHOOLS,40.8395813391,-73.9113031425
PUBLIC K-12 SCHOOLS,40.8102075917,-73.9184495367
PUBLIC K-12 SCHOOLS,40.6337165446,-73.9176213128
PUBLIC K-12 SCHOOLS,40.6905164113,-73.9498303979
PUBLIC K-12 SCHOOLS,40.7921175313,-73.8094958615
PUBLIC K-12 SCHOOLS,40.7656044359,-73.8283057299
PUBLIC K-12 SCHOOLS,40.6839797949,-73.9802867237
PUBLIC K-12 SCHOOLS,40.7824691906,-73.7784725359
PUBLIC K-12 SCHOOLS,40.695239616,-73.9778169658
PUBLIC K-12 SCHOOLS,40.6984005818,-73.7462126542
PUBLIC K-12 SCHOOLS,40.8815424548,-73.9057244469
PUBLIC K-12 SCHOOLS,40.5831051554,-74.1607092766
PUBLIC K-12 SCHOOLS,40.6069198753,-74.0072748182
PUBLIC K-12 SCHOOLS,40.6669782379,-73.9512402855
PUBLIC K-12 SCHOOLS,40.6025427782,-74.0909278283
PUBLIC K-12 SCHOOLS,40.8063812615,-73.9215568914
PUBLIC K-12 SCHOOLS,40.821437596,-73.8558968346
PUBLIC K-12 SCHOOLS,40.6105725908,-74.1623110212
