NTA_lat,NTA_long,score
40.52552798467472,-74.23355367045801,17.09259259259259
40.52864510106311,-74.18773391921759,21.8
40.54033376720194,-74.20782757948685,18.03846153846154
40.55186011949582,-74.15088962486898,15.962025316455696
40.552659638767565,-74.18848213217112,20.107142857142858
40.561996180014745,-74.12259011864387,17.52173913043478
40.57148479270609,-73.87647357091808,17.84313725490196
40.57176579450207,-74.10500837353116,16.135802469135804
40.57648122289529,-73.99123405592606,19.476190476190474
40.5790886862993,-73.97339094988965,14.121951219512194
40.580922842200685,-73.9612157959808,25.83783783783784
40.586559675799926,-74.13297490106345,10.0
40.58679198950333,-74.08551310571646,16.5
40.58829946031913,-73.94151065111895,28.136690647482013
40.58840281805082,-73.98143050413951,30.384615384615383
40.59405971011894,-73.78962139431397,22.0
40.59586510626867,-74.17636527723057,18.29245283018868
40.59995428597973,-73.96433366873585,22.714285714285715
40.60032103687097,-74.07177466676795,16.615384615384617
40.60142535315765,-73.98354410301937,23.52542372881356
40.60244626135848,-73.75531195191157,25.04255319148936
40.6042602259382,-74.0074826443686,27.11173184357542
40.60491359561196,-73.94813559482512,19.62962962962963
40.61222181802147,-73.99526015577835,26.142201834862384
40.6145798899856,-73.91524588487795,17.34567901234568
40.61688447148831,-74.12535267818313,15.609756097560975
40.6173149605957,-73.9703258001996,18.591549295774648
40.61797302808805,-74.08783920014451,19.75
40.618729466067954,-74.07370560707996,19.1875
40.62092403927339,-73.95682458081475,31.75
40.6224386002368,-74.01209534451164,20.92391304347826
40.62309491347943,-73.91958830094578,32.728813559322035
40.62485462355716,-74.02988679847549,22.180473372781066
40.626273053875394,-73.93009687459897,27.24137931034483
40.62816722670551,-74.14078722784741,21.269565217391303
40.630050007081216,-74.10286114917746,11.666666666666666
40.63094965530206,-73.98866123041203,27.0
40.63130730484034,-74.16737144321361,15.617647058823529
40.63790027576093,-73.96097028863977,26.857142857142858
40.638042327711965,-73.89975089660601,23.51578947368421
40.63897114145984,-74.10231018500836,24.392857142857142
40.64059013188992,-73.97619901935508,37.733333333333334
40.64188919436901,-74.00464613077847,28.611607142857142
40.64394703597234,-73.93793003186316,20.274509803921568
40.6461118953468,-73.9516232199433,25.774058577405857
40.647526284927736,-73.88241259897559,15.166666666666666
40.65236498945404,-73.92225092111902,29.714912280701753
40.65238020582426,-74.01123625854488,17.73404255319149
40.6536119760564,-73.97798272747355,24.109375
40.657841468762136,-73.73945475132105,10.090909090909092
40.65817283235107,-73.8448871234811,16.88095238095238
40.658744262387785,-73.94744157690593,34.111111111111114
40.66094626441516,-73.87683924673846,14.724137931034482
40.66218792310775,-73.76448889899105,24.285714285714285
40.66400194868426,-73.9102548637828,28.09090909090909
40.66461062709398,-73.79861594419954,23.833333333333332
40.66653550984713,-73.94877561651239,29.170854271356784
40.66655893770658,-73.89536412006585,29.974789915966387
