,latitude,longitude
0,-73.95353074430393,40.80297988196676
1,-73.9348475633247,40.80301816141575
2,-73.97736329270697,40.76080689474172
3,-73.9693817046576,40.7621860177235
4,-73.95954994584243,40.764915006253425
5,-73.9518056716208,40.785959798621555
6,-73.94345827853815,40.79421476546373
7,-73.86322248483968,40.866804429026935
8,-73.99335691118674,40.74046545561088
9,-74.0157487123272,40.715690873439094
10,-73.82931594567218,40.87075330808789
11,-73.88788268526544,40.85434421451861
12,-73.96760677135273,40.79587354648015
13,-73.89450288645044,40.86298060519321
14,-73.85017019717382,40.82662920810023
15,-73.99648986636721,40.71333307050747
16,-73.78636658900808,40.8476919036199
17,-73.87502060024048,40.82999287527917
18,-73.99122081783712,40.764934618394804
19,-73.94116092350963,40.81483582138157
20,-74.1011372893581,40.59039133599787
21,-73.84506427532864,40.87013970297055
22,-73.84083712785493,40.88889489584642
23,-73.98204888964264,40.738087120390595
24,-73.93386591312449,40.847870041168214
25,-73.90931635032427,40.85742189422779
26,-73.95705320654999,40.813768964572695
27,-73.97356771683344,40.754067875550625
28,-73.91008714449384,40.844001911750446
29,-74.15111164313684,40.55242326280796
30,-73.97942314417445,40.71978015438276
31,-73.94803241890192,40.82567237379984
32,-73.94331559838257,40.80616044207548
33,-73.92355090156951,40.837960016855035
34,-74.00533101445356,40.72998291458653
35,-74.19322900650182,40.534078493080344
36,-73.89413216580388,40.818670087188615
37,-73.92586290917251,40.865748720737024
38,-73.99916928513315,40.73463470830847
39,-73.90119235962918,40.86906986689302
40,-73.90770595199646,40.88069989038004
41,-73.97990195853163,40.74380962013242
42,-73.93586246250698,40.82653201339423
43,-74.16658190502365,40.63469343184469
44,-73.91758393603561,40.826584558970666
45,-73.98169851078917,40.75189156171031
46,-73.96477561597041,40.80613025800837
47,-73.85695785375374,40.84802911005552
48,-73.90179407206183,40.83126291201479
49,-73.87838435032448,40.87437981398938
50,-73.92438195200242,40.81158963775246
51,-73.9959685690698,40.74448733065495
52,-73.99568416859454,40.72413926605543
53,-74.00786921340098,40.71357685109021
54,-74.11195814748115,40.57193184836513
55,-73.98454684522841,40.7735069911927
56,-73.98774284104663,40.72890664078863
57,-73.85835004816082,40.83378098529545
58,-73.82790017237492,40.844317529931516
59,-73.8641466616336,40.85487588027384
60,-74.13110461508398,40.63758561600359
61,-74.13853387646311,40.566530146210184
62,-73.90277254280693,40.90372277707978
63,-73.98451216196563,40.77423207861022
64,-73.95020567413508,40.76123275727826
65,-73.94094393837611,40.81464862404033
