NTA_lat,NTA_long,buildings
40.80788646974493,-73.96254407122397,2946.0
40.72762033383255,-73.98593461195252,2383.0
40.74758077289947,-73.99901992342878,1913.0
40.77732494193296,-73.94868255727877,1872.0
40.720766121035,-74.00474750215801,1774.0
40.76416511873816,-73.9923992723976,1607.0
40.8979309523011,-73.85221587988438,1535.0
40.82703366691069,-73.94846693409417,1523.0
40.79037998138091,-73.97390784022548,1442.0
40.877142279045074,-73.87902106926857,1406.0
40.73304509562114,-74.0015466372372,1260.0
40.77472985232449,-73.96117409546248,1256.0
40.872461131701534,-73.84799806584263,1230.0
40.7178410373628,-73.980910550939,1132.0
40.81825704827704,-73.9407715246055,1122.0
40.79001128708913,-73.94575086002436,1077.0
40.774846583393455,-73.98469930623426,1074.0
40.85778148187093,-73.88586708731046,1039.0
40.85710625070862,-73.9328333834672,975.0
40.74422103839783,-73.9775154803447,933.0
40.7543131841428,-73.969018457856,881.0
40.82790015500255,-73.86968191369107,876.0
40.84170651959694,-73.9413997364771,818.0
40.80433264424693,-73.95129424485714,776.0
40.8011684124129,-73.93734577107963,768.0
40.83051123046775,-73.91578860603548,661.0
40.807347132488246,-73.91682138430652,654.0
40.84274666378669,-73.90031781559387,641.0
40.76496428316049,-73.95508804905873,633.0
40.84496706418226,-73.88552387705329,480.0
40.81825954558028,-73.91285012599909,471.0
40.70800739748584,-74.01024580889407,447.0
40.83774661945086,-73.857988846515,440.0
40.84678571296774,-73.85066353057776,427.0
40.73682434672817,-73.9840542975779,396.0
40.86788284818757,-73.91766203747093,373.0
40.8275124428439,-73.90235187026127,364.0
40.81805458849719,-73.85618761808409,355.0
40.82333237464716,-73.82358795790547,335.0
40.86768209053005,-73.8901836362078,330.0
40.82899723894171,-73.92439888928251,324.0
40.85252203480638,-73.91597420552891,305.0
40.88240602000621,-73.91066684061103,260.0
40.75257951269893,-73.86303630152253,239.0
40.69150749761983,-73.9499050211329,236.0
40.89953496820569,-73.9069847604234,218.0
40.68816824316435,-73.93188820624536,180.0
40.66655893770658,-73.89536412006585,179.0
40.65817283235107,-73.8448871234811,156.0
40.63094965530206,-73.98866123041203,149.0
40.67209021092979,-73.77303860760561,149.0
40.739494889149,-73.8771183268101,145.0
40.638042327711965,-73.89975089660601,145.0
40.59586510626867,-74.17636527723057,142.0
40.83782589267865,-73.92615881201503,140.0
40.630050007081216,-74.10286114917746,137.0
40.68217801866513,-73.8783344135671,127.0
40.60244626135848,-73.75531195191157,125.0
40.67122829682977,-73.9839032868623,124.0
40.68873094404904,-73.85576448007149,124.0
40.69442746765774,-73.79096387824596,121.0
40.6145798899856,-73.91524588487795,119.0
40.68796681288217,-73.96236332341726,118.0
40.706531363612704,-73.90171541060506,118.0
40.67663761763486,-73.91364751083654,117.0
40.71536854625292,-73.93679688042977,116.0
40.63130730484034,-74.16737144321361,115.0
40.74927804184557,-73.90373166031507,113.0
40.703916526132,-73.95859674795682,110.0
40.81208906407824,-73.88554684118738,109.0
40.65236498945404,-73.92225092111902,101.0
40.71545452531067,-73.74153181008387,98.0
40.6042602259382,-74.0074826443686,98.0
40.74308450685255,-73.81964130040596,97.0
40.69292731152471,-73.98598652422982,97.0
40.71159464381615,-73.80871182405201,96.0
40.69079510513449,-73.97488147952565,93.0
40.552659638767565,-74.18848213217112,92.0
40.6461118953468,-73.9516232199433,91.0
