ntacode,ntaname,latitude,longitude,Population
MN25,Battery Park City-Lower Manhattan,40.708007397485844,-74.01024580889407,39699
BK32,Sunset Park West,40.65238020582426,-74.01123625854488,54041
MN28,Lower East Side,40.717841037362795,-73.980910550939,72957
BK27,Bath Beach,40.6042602259382,-74.0074826443686,29931
MN31,Lenox Hill-Roosevelt Island,40.76496428316049,-73.95508804905873,80771
QN68,Queensbridge-Ravenswood-Long Island City,40.75755983715688,-73.93874960665772,20030
SI36,Old Town-Dongan Hills-South Beach,40.58679198950333,-74.08551310571646,24835
SI14,Grasmere-Arrochar-Ft. Wadsworth,40.60032103687097,-74.07177466676795,16079
QN23,College Point,40.780923219140085,-73.84280567084586,24275
QN98,Airport,40.66461062709398,-73.79861594419954,0
MN33,East Harlem South,40.79001128708913,-73.94575086002436,57902
BK28,Bensonhurst West,40.61222181802147,-73.99526015577835,88727
BK29,Bensonhurst East,40.601425353157644,-73.98354410301937,62978
SI99,park-cemetery-etc-Staten Island,40.54577851890854,-74.12835122251354,0
MN06,Manhattanville,40.818022678084475,-73.95382231943233,22950
BX39,Mott Haven-Port Morris,40.807347132488246,-73.91682138430652,52413
BX07,Bronxdale,40.864004852787474,-73.86490227801215,35538
MN14,Lincoln Square,40.774846583393455,-73.98469930623426,61489
BK64,Prospect Heights,40.67764232716247,-73.96758605431256,19849
BK30,Dyker Heights,40.6224386002368,-74.01209534451164,42419
BK31,Bay Ridge,40.624854623557155,-74.02988679847549,79371
QN53,Woodhaven,40.68873094404904,-73.85576448007149,56674
BK33,Carroll Gardens-Columbia Street-Red Hook,40.67877154902519,-74.00389956866022,38353
BK37,Park Slope-Gowanus,40.67122829682977,-73.9839032868623,67649
BK19,Brighton Beach,40.580922842200685,-73.9612157959808,35547
BK25,Homecrest,40.599954285979734,-73.96433366873585,44316
BK21,Seagate-Coney Island,40.57648122289529,-73.99123405592606,31965
SI07,Westerleigh,40.616884471488305,-74.12535267818313,24102
SI22,West New Brighton-New Brighton-St. George,40.63897114145984,-74.10231018500836,33551
MN19,Turtle Bay-East Midtown,40.754313184142795,-73.969018457856,51231
BX62,Woodlawn-Wakefield,40.8979309523011,-73.85221587988438,42483
BX99,park-cemetery-etc-Bronx,40.872461131701534,-73.84799806584263,1906
BK82,East New York,40.66094626441516,-73.87683924673846,91958
QN57,Lindenwood-Howard Beach,40.65817283235107,-73.8448871234811,26148
BK88,Borough Park,40.63094965530206,-73.98866123041203,106357
BK76,Greenpoint,40.729499700807246,-73.94951695167907,34719
BX59,Westchester-Unionport,40.83210042759504,-73.84864267680445,27248
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,40.586559675799926,-74.13297490106345,30714
BX13,Co-op City,40.873979648142395,-73.82827934026612,43752
