latitude,longitude
40.79632847603931,-73.89752033672166
40.68292764253647,-73.93062785024442
40.69033961246124,-73.99938554785841
40.730382148529884,-73.87496017850876
40.62192121982288,-74.02256884301354
40.834964421605626,-73.86771514665844
40.78321900687768,-73.80725389775675
40.773710188482475,-73.76800246665539
40.770615999514995,-73.89353622463567
40.725445638570775,-73.97744638175003
40.82224806743939,-73.85972739556927
40.78372024343989,-73.78548287544605
40.63914220198821,-74.17359291725883
40.680899415096896,-73.9732362432841
40.7530353435871,-73.96406400498739
40.70734007520577,-73.96467481672816
40.689810061450636,-73.95487591680596
40.76234422735956,-73.85815553718464
40.67804655280139,-73.92806080665557
40.703239885540725,-73.81616916904345
40.80286578560096,-73.90933140477759
40.661203888567506,-73.95224012553211
40.75020165767396,-73.98770412966738
40.674377120428815,-73.88912287121572
40.72540962717705,-74.00268394102635
40.716258392128694,-73.94990379836679
40.77383196657479,-73.98697256565633
40.678264612779145,-74.018855622545
40.672788145810216,-73.98525374623478
40.74187399785304,-73.951340293531
40.79420424008084,-73.93445433395374
40.756259946119975,-73.94846087402337
40.72986237007777,-73.87635245459757
40.727549129975976,-73.95748460689315
40.67270296864376,-73.90064932356222
40.845394919526875,-73.91469855489679
40.69498017672819,-73.96081415031686
40.71021646793165,-73.98286583723967
40.723978032066114,-73.97734407578648
40.72647193907427,-73.8080750950607
40.7011827558733,-73.79948452673194
40.721266907554444,-73.97842343528812
40.79165467061971,-73.94589124770759
40.73100240565339,-73.805960451033
40.68154807356416,-73.85669001935311
40.81769213259736,-73.93176434878285
40.83935425368083,-73.92661293365016
40.59081200559597,-73.99436906188116
40.61089063364762,-73.95318719881763
40.67368348565514,-73.87188296753845
40.67523215217083,-73.74629553449782
40.706261491286504,-73.96754692579222
40.849902580392886,-73.87556723186162
40.57805278291592,-73.95839146331915
40.679672583090905,-73.93104708215645
40.88518878982583,-73.89720364692835
40.740318883047934,-73.85901403555303
40.72326405557577,-73.82026236457232
40.881727633714874,-73.9002200924436
40.74901145097714,-73.97120218138177
40.72686034600039,-73.77004636147237
40.84514090471471,-73.90354795117025
40.808736554008085,-73.96336247991145
40.658535961701034,-73.92196657922138
40.707227907736524,-73.8907920759044
40.57511713418081,-73.96561816013262
40.67452831217107,-73.86479783024424
40.61224333712868,-74.08052654803286
40.690694149743784,-73.8037296090192
40.65848937454446,-73.85840539717229
40.72013915029394,-73.99345404013117
40.51402763498837,-74.19966978775405
40.755167230062455,-73.80223302208569
40.71446897193357,-73.87727132467559
40.79136181098888,-73.93948359491945
40.69722151631801,-73.96334012189259
